round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp,game_url,pano_id
1,-42.36219787597656,-73.88164520263672,28.206741333007812,-177.3710174560547,13127.508473041493,1,-1819,2026-01-04T15:58:26.839750,https://www.geoguessr.com/duels/310938a9-4473-4b57-ab0a-0c689673fa7a,kgY-8tlJsv92Fs6Y0z7JLg
2,45.07514572143555,13.877166748046875,48.73749542236328,2.2808187007904053,969.1871412551017,2611,0,2026-01-04T15:59:00.973279,https://www.geoguessr.com/duels/310938a9-4473-4b57-ab0a-0c689673fa7a,wK7dq5d_s1lMlf7wHcrXiw
3,-1.3090465068817139,101.70684814453125,15.437039375305176,120.6470718383789,2793.291851649501,769,0,2026-01-04T15:59:36.184361,https://www.geoguessr.com/duels/310938a9-4473-4b57-ab0a-0c689673fa7a,nSLYY5eM_2rgjF2labrd3w
4,-42.56787109375,-73.86353302001953,-42.417572021484375,-73.7674789428711,18.4751724725289,4938,0,2026-01-04T16:00:13.039631,https://www.geoguessr.com/duels/310938a9-4473-4b57-ab0a-0c689673fa7a,zXZ-M18Y4C4bVK0lclle3w
