round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp,game_url
1,31.56791877746582,75.09033203125,31.581405639648438,74.31504821777344,73.46048184477459,4760,-213,2025-12-30T15:07:16.867314,https://www.geoguessr.com/duels/e2cc9232-3cee-46c6-a0aa-3d8d84929e02
2,11.392594337463379,78.05288696289062,12.369494438171387,77.01187896728516,156.9412038693348,4501,0,2025-12-30T15:07:48.376981,https://www.geoguessr.com/duels/e2cc9232-3cee-46c6-a0aa-3d8d84929e02
3,-20.265676498413086,24.20849609375,-20.182283401489258,22.466997146606445,181.9428717326928,4426,0,2025-12-30T15:08:29.234550,https://www.geoguessr.com/duels/e2cc9232-3cee-46c6-a0aa-3d8d84929e02
4,43.447166442871094,-8.03759765625,43.202301025390625,-9.033915519714355,85.0682610430225,4723,0,2025-12-30T15:09:29.809784,https://www.geoguessr.com/duels/e2cc9232-3cee-46c6-a0aa-3d8d84929e02
5,36.96873092651367,36.70585632324219,36.74872970581055,10.12783432006836,2357.0146416655516,1030,-5654,2025-12-30T15:10:14.981163,https://www.geoguessr.com/duels/e2cc9232-3cee-46c6-a0aa-3d8d84929e02
6,-18.26289939880371,-67.04820251464844,32.73634719848633,-16.80833625793457,7787.685166853981,27,-133,2025-12-30T15:10:55.056439,https://www.geoguessr.com/duels/e2cc9232-3cee-46c6-a0aa-3d8d84929e02
