round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp,game_url,pano_id
1,7.102270603179932,6.49188232421875,5.661733150482178,-0.15583224594593048,751.8474002001075,3020,-1953,2026-01-04T15:38:20.686209,https://www.geoguessr.com/duels/bb6c6178-56f8-4273-bb06-aa9a4c4f5d49,YIHXbKPJmQU8RAHDWApHjw
2,-18.109521865844727,-50.494232177734375,-10.05060863494873,-38.33889389038086,1586.818056337123,1726,0,2026-01-04T15:38:43.468536,https://www.geoguessr.com/duels/bb6c6178-56f8-4273-bb06-aa9a4c4f5d49,T6bj0HKnK72VRIxj7lZg4Q
3,58.90333938598633,14.132827758789062,58.44984436035156,16.744497299194336,159.1584086598104,4494,0,2026-01-04T15:39:11.286135,https://www.geoguessr.com/duels/bb6c6178-56f8-4273-bb06-aa9a4c4f5d49,eHrKXiRgsIlN-yrv34eLKQ
4,43.42289352416992,-80.13087463378906,53.55598449707031,-113.63968658447266,2681.963996716578,828,-207,2026-01-04T15:39:36.463292,https://www.geoguessr.com/duels/bb6c6178-56f8-4273-bb06-aa9a4c4f5d49,e2GQ94X43So6PhHB-CRXaA
5,-29.690425872802734,27.936233520507812,-30.067398071289062,27.421335220336914,64.9735382976181,4787,0,2026-01-04T15:40:11.868116,https://www.geoguessr.com/duels/bb6c6178-56f8-4273-bb06-aa9a4c4f5d49,NfaaeOeaUfYgWiv3MaCxDw
6,-10.345619201660156,105.2745361328125,28.20296859741211,-177.3777618408203,9337.222931032413,10,-3840,2026-01-04T15:40:34.737284,https://www.geoguessr.com/duels/bb6c6178-56f8-4273-bb06-aa9a4c4f5d49,-RwS797sbukCZoDs_fuY2g
