round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp,game_url
1,42.95629119873047,25.307952880859375,48.76221466064453,19.141895294189453,802.404768055857,2920,0,2025-12-30T19:24:23.719813,https://www.geoguessr.com/duels/eb3c36e4-21ca-429b-aa6d-877f9d41ca40
2,45.93042755126953,16.20782470703125,43.82732009887695,-79.19937133789062,7031.890679199665,45,-127,2025-12-30T19:24:48.659697,https://www.geoguessr.com/duels/eb3c36e4-21ca-429b-aa6d-877f9d41ca40
3,45.90107727050781,16.194046020507812,15.592302322387695,-16.166582107543945,4515.020044390392,242,-815,2025-12-30T19:25:21.715350,https://www.geoguessr.com/duels/eb3c36e4-21ca-429b-aa6d-877f9d41ca40
4,42.984046936035156,25.290115356445312,22.413875579833984,91.81908416748047,6453.836046262576,66,-4287,2025-12-30T19:25:51.116040,https://www.geoguessr.com/duels/eb3c36e4-21ca-429b-aa6d-877f9d41ca40
5,45.44268035888672,17.878067016601562,50.76353073120117,15.008624076843262,628.7218425131371,3280,0,2025-12-30T19:26:34.278489,https://www.geoguessr.com/duels/eb3c36e4-21ca-429b-aa6d-877f9d41ca40
6,45.953304290771484,16.093124389648438,44.50083541870117,11.358802795410156,404.3298887529931,3813,-771,2025-12-30T19:26:57.655180,https://www.geoguessr.com/duels/eb3c36e4-21ca-429b-aa6d-877f9d41ca40
