round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp,game_url
2,64.69148254394531,-139.4491729736328,54.5020751953125,-104.15032196044922,2244.3399064334494,1111,-750,2025-12-30T19:39:53.330636,https://www.geoguessr.com/duels/45d110e1-cb07-4e7a-a338-ce1a24c65cbb
3,54.84483337402344,25.417984008789062,56.933509826660156,24.07791519165039,246.8136450512218,4238,0,2025-12-30T19:40:16.817899,https://www.geoguessr.com/duels/45d110e1-cb07-4e7a-a338-ce1a24c65cbb
4,36.37567901611328,36.86602783203125,37.75501251220703,28.614765167236328,747.7376741880015,3029,-412,2025-12-30T19:40:59.147918,https://www.geoguessr.com/duels/45d110e1-cb07-4e7a-a338-ce1a24c65cbb
5,46.35990524291992,12.107772827148438,46.90264129638672,6.589522838592529,425.56233975912966,3759,-1454,2025-12-30T19:41:23.440035,https://www.geoguessr.com/duels/45d110e1-cb07-4e7a-a338-ce1a24c65cbb
