round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp
1,66.93972778320312,74.15145874023438,61.34134292602539,17.009126663208008,,,,2025-12-30T11:18:07.982653
2,8.69532585144043,5.93310546875,7.42719030380249,4.006810665130615,254.67392006973049,4215,0,2025-12-30T11:18:59.696392
3,53.64556121826172,-1.7876739501953125,53.743385314941406,-1.882110357284546,12.5290725076288,4958,0,2025-12-30T11:19:24.612349
4,46.10621643066406,16.33184814453125,45.39976119995117,17.615873336791992,,,,2025-12-30T11:19:54.331976
5,51.95908737182617,-3.3451995849609375,49.19965362548828,-2.0662131309509277,,,,2025-12-30T11:20:25.112136
6,51.991546630859375,108.226806640625,49.10322189331055,105.54902648925781,,,,2025-12-30T11:20:57.912464
7,42.78288269042969,26.179580688476562,42.28646469116211,26.31302261352539,,,,2025-12-30T11:21:36.493817
