round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model
1,2025-12-28T15:01:47.999137,49.866459,14.891907,51.008476,16.499077,170.52,4460,,,main
1,2025-12-28T15:01:51.298302,51.455036,13.828225,51.008476,16.499077,192.47,4395,,,baseline
2,2025-12-28T15:02:15.833195,51.229805,-99.840714,44.879932,-93.753929,837.92,2851,,,main
2,2025-12-28T15:02:18.962337,48.894939,-98.602852,44.879932,-93.753929,578.63,3392,,,baseline
3,2025-12-28T15:02:43.804819,26.177299,127.967072,35.274811,132.589447,1103.48,2386,,,main
3,2025-12-28T15:02:47.296053,41.145115,140.382187,35.274811,132.589447,942.45,2658,,,baseline
4,2025-12-28T15:03:11.887884,45.630699,-91.056885,45.594742,-91.765427,55.26,4818,,,main
4,2025-12-28T15:03:15.186496,45.753452,-92.798683,45.594742,-91.765427,82.20,4732,,,baseline
5,2025-12-28T15:03:39.778297,-28.979446,-53.296127,-19.814484,-43.949142,1389.62,1970,,,main
5,2025-12-28T15:03:43.085783,-15.869946,-47.921215,-19.814484,-43.949142,607.49,3327,,,baseline
