round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model
1,2025-12-28T14:36:12.006978,43.214401,-7.293045,38.224045,15.856588,2020.95,1290,,,main
1,2025-12-28T14:36:15.110721,40.048199,-4.270329,38.224045,15.856588,1743.95,1553,,,baseline
2,2025-12-28T14:36:39.969592,-45.826080,168.542816,-43.424934,171.606750,360.61,3926,,,main
2,2025-12-28T14:36:43.391925,-43.827839,170.810455,-43.424934,171.606750,78.20,4745,,,baseline
3,2025-12-28T14:37:08.263628,53.804306,12.770935,53.173454,12.177328,80.39,4738,,,main
3,2025-12-28T14:37:11.799163,51.455036,13.828225,53.173454,12.177328,221.58,4310,,,baseline
4,2025-12-28T14:37:36.659020,52.381424,-0.299454,52.524784,-1.704327,96.52,4687,,,main
4,2025-12-28T14:37:40.095909,53.323231,-0.942506,52.524784,-1.704327,102.42,4668,,,baseline
5,2025-12-28T14:38:04.924364,25.356831,81.697632,28.785994,77.318558,577.29,3395,,,main
5,2025-12-28T14:38:08.375490,27.483669,70.356552,28.785994,77.318558,697.74,3132,,,baseline
