round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp
1,37.53779602050781,24.105438232421875,36.752925872802734,10.175555229187012,1236.60801770715,,,2025-12-30T11:28:39.184606
2,11.931867599487305,93.71737670898438,7.484256744384766,125.69231414794922,3536.9845256178714,,,2025-12-30T11:29:12.281036
3,48.9068489074707,19.34466552734375,45.937984466552734,15.485105514526367,439.5346094331666,,,2025-12-30T11:29:50.946509
4,45.37921142578125,17.427047729492188,48.509300231933594,21.744609832763672,477.93462824563113,,,2025-12-30T11:30:31.342030
