round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,timestamp
1,-29.434823989868164,-53.223114013671875,-22.560396194458008,-47.38585662841797,961.1986135034338,2625,2025-12-29T19:57:18.625905
2,47.97465515136719,7.988555908203125,48.23628234863281,16.43341064453125,627.4022558957217,3283,2025-12-29T19:58:11.738674
3,56.74386978149414,14.033828735351562,60.78110885620117,11.192580223083496,477.7728660955179,3630,2025-12-29T19:59:19.855909
4,13.823648452758789,-14.54779052734375,13.775474548339844,-13.774046897888184,83.72451881664381,4727,2025-12-29T20:00:14.727626
5,-45.78635025024414,168.55938720703125,-34.52153015136719,172.83892822265625,1303.8034267991143,2086,2025-12-29T20:00:53.620724
