round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint
1,2025-12-28T12:53:10.871946,51.467220,0.067261,51.504501,-0.421486,34.09,4887,,
2,2025-12-28T12:53:35.814435,42.761765,17.997650,43.750797,16.670679,153.76,4510,,
3,2025-12-28T12:54:00.841308,39.160408,-82.680878,37.786869,-84.829514,241.47,4253,,
