round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp
1,49.36854553222656,16.690521240234375,49.99866485595703,14.933204650878906,144.5400723256001,4538,0,2025-12-30T13:22:58.149310
2,40.80537033081055,22.664108276367188,38.17231369018555,-7.90761661529541,2626.3796751214,860,0,2025-12-30T13:23:22.920763
3,-6.5699687004089355,-76.52967834472656,18.04503631591797,-66.52169799804688,2949.2387086103768,692,0,2025-12-30T13:23:59.970974
4,30.03742790222168,35.11805725097656,31.99456214904785,35.998443603515625,233.23236252695318,4276,-689,2025-12-30T13:24:35.197139
5,-28.96198272705078,30.009140014648438,-27.699932098388672,30.291324615478516,143.0254708668782,4543,0,2025-12-30T13:25:01.181603
6,42.33269500732422,24.850082397460938,45.912227630615234,22.918855667114258,426.79892768100564,3756,-18,2025-12-30T13:25:24.574815
7,47.40043640136719,8.617172241210938,47.41666793823242,7.0898027420043945,114.9513929802552,4629,-878,2025-12-30T13:26:01.960745
8,56.27842712402344,9.250228881835938,59.60097885131836,16.52398681640625,565.8514399386851,3422,-258,2025-12-30T13:27:11.050238
9,-4.725621700286865,-80.84920501708984,-4.904901504516602,-80.81376647949219,20.3180509494562,4932,0,2025-12-30T13:27:40.279034
