round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-29T13:54:06.034163,-41.861160,-73.853180,-28.837381,153.338943,10783.34,4,,,main,,
2,2025-12-29T13:54:32.237844,19.651052,82.788116,,,,,,,main,,
3,2025-12-29T13:55:09.176053,55.902512,-4.221603,55.968758,-3.158923,66.59,4782,,,main,,
4,2025-12-29T13:55:34.919528,48.339314,17.995392,,,,,,,main,,
5,2025-12-29T13:55:56.935777,32.345097,-102.467590,30.704933,-97.779045,480.30,3624,,,main,,
