round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp
1,-2.202927827835083,-47.405792236328125,17.33384895324707,103.97969055175781,16466.22037327653,0,-4332,2025-12-30T12:25:41.457465
2,56.02082443237305,10.60113525390625,56.27202224731445,10.310848236083984,33.2192669917287,4890,0,2025-12-30T12:26:03.719105
3,-34.863311767578125,-56.02203369140625,-26.4789981842041,31.349777221679688,8142.7022926883255,21,-1668,2025-12-30T12:26:42.060556
