round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score
1,2025-12-27T18:56:44.250869,54.827492,8.904724,49.519230,6.225439,617.76,
2,2025-12-27T18:57:04.096048,41.319736,1.854736,28.083900,-16.561989,2227.49,
3,2025-12-27T18:57:24.182883,35.717705,139.943176,34.464428,135.440674,432.66,
4,2025-12-27T18:57:43.821795,32.102448,-92.870987,29.591820,-95.745010,391.39,
5,2025-12-27T18:58:03.464669,66.057739,56.879501,55.714916,84.835251,1873.44,
