round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp
1,37.41474533081055,-5.4504241943359375,37.87945556640625,-4.775132656097412,78.7712924513728,4743,0,2025-12-30T11:44:10.076376
2,55.027732849121094,25.057830810546875,50.033775329589844,19.969575881958008,652.9318574704523,3228,-1141,2025-12-30T11:44:54.135745
3,19.01444435119629,105.33865356445312,19.206233978271484,99.50592041015625,613.1697200656045,3315,-467,2025-12-30T11:45:28.670279
4,48.86582946777344,23.071487426757812,51.2442512512207,23.090145111083984,264.4717876256694,4188,0,2025-12-30T11:46:00.568102
5,-13.110079765319824,-70.51681518554688,-0.5130674242973328,-80.04194641113281,1750.2426635129514,1547,0,2025-12-30T11:46:31.743653
6,41.95675277709961,27.423538208007812,50.335365295410156,5.339845180511475,1929.1828977698963,1372,-3800,2025-12-30T11:47:14.440137
7,-23.01987075805664,26.283294677734375,-24.63272476196289,25.88338851928711,183.89607329835482,4420,0,2025-12-30T11:47:54.500986
