round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-28T17:08:53.516905,-2.411394,-47.266876,-18.913883,-50.677155,1872.17,1425,,,main,,
2,2025-12-28T17:09:18.639015,58.096512,-7.236282,55.688007,-6.222882,274.79,4159,,,main,,
3,2025-12-28T17:09:43.687664,25.527637,81.721100,27.171438,78.041939,409.61,3799,,,main,,
4,2025-12-28T17:10:08.354201,-26.441378,31.204803,-26.489534,29.268967,192.77,4394,,,main,,
5,2025-12-28T17:10:32.877301,39.393948,-76.807396,34.704361,-86.585426,1011.50,2538,,,main,,
