round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score
1,2025-12-27T20:08:03.973646,48.774570,9.062164,48.880676,12.573462,257.28,4208
2,2025-12-27T20:08:30.349519,43.990910,-85.243958,43.132580,-87.932457,236.70,4266
3,2025-12-27T20:08:56.964889,47.947189,5.071487,,,,
