round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint
1,2025-12-28T12:43:33.408913,47.059849,-84.346497,46.183186,-64.609856,1506.43,1821,,
2,2025-12-28T12:44:00.584198,5.609255,116.637726,-3.139458,104.057999,1702.44,1597,,
3,2025-12-28T12:44:27.086057,34.171116,-83.716965,36.163712,-78.451736,527.30,3511,,
4,2025-12-28T12:44:54.279342,35.623894,139.900421,34.713448,135.798080,386.36,3859,,
5,2025-12-28T12:45:20.194316,32.620113,-92.736710,32.463371,-93.844620,105.30,4659,,
