round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-29T14:18:22.285860,43.437744,-80.134193,43.887993,-79.219536,88.99,4710,,,main,,
2,2025-12-29T14:18:47.676621,46.538303,6.812744,47.296452,8.507337,153.85,4510,,,main,,
3,2025-12-29T14:19:12.845726,53.512146,-104.739883,49.938671,-97.319656,646.82,3241,,,main,,
4,2025-12-29T14:19:38.333854,26.162340,128.062531,35.205292,136.842926,1308.71,2079,,,main,,
5,2025-12-29T14:20:02.780414,-39.080078,-70.965195,,,,,,,main,,
