round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score
1,2025-12-27T16:48:56.951823,43.407082,46.750961,,,,
2,2025-12-27T16:49:14.992239,37.867996,-88.648560,,,,
