round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-29T14:04:51.195705,-38.795189,177.368652,-43.557869,172.635193,661.11,3210,,,main,,
2,2025-12-29T14:05:16.440101,54.040569,12.884201,51.923100,8.823179,359.56,3929,,,main,,
3,2025-12-29T14:05:41.732796,48.558064,-123.552811,46.152363,-122.930031,271.58,4168,,,main,,
4,2025-12-29T14:06:06.669127,35.672897,139.797913,35.886776,139.770737,23.91,4921,,,main,,
5,2025-12-29T14:06:31.803670,37.173027,-98.208565,37.091011,-94.485909,330.12,4007,,,main,,
