round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score
1,2025-12-27T16:17:13.008073,-28.869707,-52.819885,,,,
2,2025-12-27T16:17:30.188979,-28.986139,-53.035889,,,,
3,2025-12-27T16:17:47.442543,-29.060583,-52.805542,,,,
4,2025-12-27T16:18:04.561318,-28.969868,-52.934586,,,,
5,2025-12-27T16:18:21.708210,-34.679848,-55.878143,,,,
