round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp
1,7.757134437561035,6.246551513671875,5.603391170501709,-0.18720735609531403,749.7715423514497,,,2025-12-30T11:36:07.711595
2,37.18574142456055,-5.6392669677734375,51.622459411621094,-8.895668029785156,1625.573083623756,1681,-1874,2025-12-30T11:37:47.682192
3,-5.823785781860352,-78.18769073486328,4.548890590667725,-74.4613037109375,1225.3595035577198,2199,0,2025-12-30T11:38:24.556788
4,37.73537826538086,24.114013671875,39.64082336425781,22.416040420532227,258.0777501824229,,,2025-12-30T11:38:53.911410
5,1.8274052143096924,103.510986328125,1.4827121496200562,103.7741928100586,48.2171976276158,,,2025-12-30T11:39:38.950190
