round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,timestamp
1,58.881065368652344,13.886306762695312,61.435546875,25.8852481842041,720.7748794065474,3084,2025-12-29T23:18:42.657573
2,55.77506637573242,21.79107666015625,54.80800247192383,23.78966522216797,166.0472396994296,4473,2025-12-29T23:19:35.981154
3,20.96793556213379,105.89785766601562,15.998710632324219,120.36600494384766,1621.7795526405557,1686,2025-12-29T23:21:01.883922
4,41.93804168701172,72.01461791992188,41.83457946777344,23.495946884155273,3961.0113286607248,351,2025-12-29T23:21:57.986101
5,8.990114212036133,-83.03002166748047,8.892671585083008,-79.81841278076172,352.94009480077807,3947,2025-12-29T23:23:20.439771
