round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,timestamp
1,51.35549545288086,-0.097076416015625,51.48893737792969,-0.25024768710136414,18.2473707337975,4939,2025-12-29T20:32:10.067954
2,26.070953369140625,128.1568603515625,22.48601531982422,114.00492095947266,1487.8467229942733,1844,2025-12-29T20:32:53.323710
3,-23.54997444152832,26.6072998046875,-24.747915267944336,25.65021324157715,164.8430582106756,4477,2025-12-29T20:33:49.631280
4,41.09270477294922,26.619110107421875,37.51686096191406,29.63824462890625,474.8752332111443,3637,2025-12-29T20:34:31.679673
5,46.596519470214844,6.804046630859375,46.44947052001953,6.133025169372559,53.8800400969686,4823,2025-12-29T20:35:40.923476
