round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-29T13:27:42.405641,-44.180546,170.921021,-44.190815,170.669098,20.12,4933,,,main,,
2,2025-12-29T13:28:08.194328,42.049728,-90.984711,45.074360,-89.083382,369.54,3903,,,main,,
3,2025-12-29T13:28:34.384832,38.131145,-8.330490,43.096500,12.430460,1831.76,1464,,,main,,
4,2025-12-29T13:29:00.606738,3.806616,-59.823654,32.083797,-81.101570,3848.47,379,,,main,,
5,2025-12-29T13:29:26.627910,46.991714,12.359695,47.794518,13.065951,103.90,4664,,,main,,
