round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score
1,2025-12-27T19:47:22.320739,48.435997,23.258255,44.784004,20.479921,458.12,3678
2,2025-12-27T19:47:50.219035,42.333160,-76.218842,43.599522,-71.698334,393.79,3840
3,2025-12-27T19:48:18.307097,48.120918,-2.193939,48.826664,2.446444,350.90,3952
4,2025-12-27T19:48:45.055643,31.835564,-112.519905,34.288864,-118.676483,635.12,3266
5,2025-12-27T19:49:11.866144,36.857616,137.054382,33.305077,132.589691,566.51,3420
