round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score
1,2025-12-27T19:30:13.818998,32.728569,-112.189674,31.941586,-110.779144,158.81,4495
2,2025-12-27T19:30:35.850017,43.210640,12.485168,41.967140,12.799413,140.64,4550
3,2025-12-27T19:30:57.889786,42.720299,-71.634644,41.065010,-73.554451,243.15,4248
4,2025-12-27T19:31:19.756860,52.860317,21.212433,50.144268,18.994392,338.75,3984
5,2025-12-27T19:31:41.476474,56.002247,-4.463303,55.855106,-4.185246,23.83,4921
