round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,timestamp
1,42.98994445800781,-7.7326507568359375,39.92737579345703,-8.84913444519043,353.0132956140014,3946,2025-12-29T21:26:58.809124
2,49.143009185791016,36.248199462890625,42.69664764404297,23.350473403930664,1225.813365304231,2198,2025-12-29T21:28:23.224205
3,41.94599533081055,23.5401611328125,47.069271087646484,10.381542205810547,1186.6697995406869,2257,2025-12-29T21:29:12.830455
4,7.944889068603516,5.38250732421875,6.264581680297852,5.609862327575684,188.5181569782685,4406,2025-12-29T21:30:27.587525
5,38.18377685546875,-8.576889038085938,37.839881896972656,21.330900192260742,2608.990969342296,870,2025-12-29T21:31:16.537171
