round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp
1,-3.9659664630889893,-32.25001525878906,32.33005142211914,-64.83293151855469,5301.531557849031,143,0,2025-12-30T13:51:34.666055
2,56.04975128173828,-4.3690185546875,51.39667892456055,0.1761631965637207,597.3036598631561,3350,-804,2025-12-30T13:51:59.967966
3,8.2852201461792,6.1524658203125,6.484465599060059,-0.8590819835662842,798.6485898932185,2927,0,2025-12-30T13:52:29.207834
4,16.59358787536621,104.26852416992188,0.316940575838089,32.58606719970703,8047.839607401137,23,-700,2025-12-30T13:52:53.849774
5,70.43633270263672,26.335784912109375,68.36931610107422,15.697357177734375,474.5078501901775,3638,0,2025-12-30T13:53:33.562370
6,37.538082122802734,-8.063186645507812,37.28820037841797,-8.148510932922363,28.7893458658313,4904,0,2025-12-30T13:54:15.980892
