round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,timestamp
1,62.977779388427734,15.460189819335938,58.46910095214844,23.70713233947754,671.63183326906,3187,2025-12-29T20:48:09.494369
2,62.101932525634766,-144.54156494140625,-43.552490234375,172.50592041015625,12358.852383428079,1,2025-12-29T20:49:07.396510
3,46.293087005615234,12.168914794921875,43.30110549926758,41.631317138671875,2334.632662001111,1045,2025-12-29T20:50:28.032703
4,14.062844276428223,121.74734497070312,16.599632263183594,120.30087280273438,321.9071716436581,4029,2025-12-29T20:50:48.439259
5,16.909099578857422,104.41748046875,13.7125883102417,100.70075225830078,534.0154644572235,3495,2025-12-29T20:51:27.892070
