round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model
1,2025-12-28T14:45:39.522540,51.934189,-3.129242,53.318180,-0.060309,258.02,4206,,,main
1,2025-12-28T14:45:42.958961,53.440826,-0.315299,53.318180,-0.060309,21.73,4928,,,baseline
2,2025-12-28T14:46:08.025227,2.399307,102.361908,0.595070,101.492043,222.71,4307,,,main
2,2025-12-28T14:46:11.552925,3.079666,101.832619,0.595070,101.492043,278.85,4147,,,baseline
3,2025-12-28T14:46:36.396961,41.666714,-76.049133,39.450317,-77.455414,273.58,4162,,,main
3,2025-12-28T14:46:39.945957,40.147102,-77.125420,39.450317,-77.455414,82.45,4731,,,baseline
4,2025-12-28T14:47:04.815871,42.415657,27.810715,48.218750,16.365330,1101.42,2389,,,main
4,2025-12-28T14:47:08.370588,48.209202,16.370186,48.218750,16.365330,1.12,4996,,,baseline
5,2025-12-28T14:47:33.206628,33.933804,-84.643959,30.559366,-90.475510,664.30,3203,,,main
5,2025-12-28T14:47:36.724875,32.635254,-91.411156,30.559366,-90.475510,247.25,4236,,,baseline
