round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model
1,2025-12-28T14:42:36.318753,-22.756189,26.460007,-27.865778,25.912321,570.82,3410,,,main
1,2025-12-28T14:42:39.443246,-31.886795,117.704727,-27.865778,25.912321,8572.00,16,,,baseline
2,2025-12-28T14:43:04.261629,52.126415,8.624435,51.350964,12.355121,270.93,4170,,,main
2,2025-12-28T14:43:07.712516,59.321800,17.886900,51.350964,12.355121,952.08,2641,,,baseline
3,2025-12-28T14:43:32.567943,35.500553,139.920532,33.354519,130.003082,939.92,2663,,,main
3,2025-12-28T14:43:36.033895,34.453423,131.752502,33.354519,130.003082,202.47,4365,,,baseline
4,2025-12-28T14:44:00.742552,43.043289,-72.293686,40.740345,-73.656319,279.80,4145,,,main
4,2025-12-28T14:44:04.120353,40.566925,-74.098831,40.740345,-73.656319,42.02,4861,,,baseline
5,2025-12-28T14:44:28.859895,56.503914,48.029205,51.759953,55.097851,699.54,3128,,,main
5,2025-12-28T14:44:32.255332,60.014732,30.285963,51.759953,55.097851,1783.21,1513,,,baseline
