round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint
1,2025-12-27T20:48:42.690228,52.030682,8.600647,52.313118,9.726120,82.93,4730,,
2,2025-12-27T20:49:23.260359,53.433220,-2.901596,53.813072,-1.506833,101.21,4672,,
3,2025-12-27T20:49:54.139568,48.569935,23.599396,44.756119,19.679344,518.81,3531,,
4,2025-12-27T20:50:29.055858,-4.881676,-43.022903,-3.323657,-45.023865,281.53,4140,,
5,2025-12-27T20:51:05.068636,-38.767406,177.348572,-41.213379,174.817947,347.03,3962,,
