round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-29T14:21:02.430393,35.915180,-116.760971,,,,,,,main,,
2,2025-12-29T14:21:24.116633,47.233822,39.494553,52.940384,36.053741,680.17,3169,,,main,,
3,2025-12-29T14:21:49.464173,-7.726520,-74.685791,10.250632,-75.364914,2000.38,1308,,,main,,
4,2025-12-29T14:22:14.307586,39.196938,15.803406,36.156715,36.203453,1822.82,1473,,,main,,
5,2025-12-29T14:22:39.496447,-30.181295,-71.214729,19.364044,-99.087242,6264.94,75,,,main,,
