round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp
1,43.3137092590332,24.513885498046875,44.921722412109375,26.0093994140625,214.98616063960782,4329,0,2025-12-30T13:04:42.535957
2,-17.838512420654297,-64.15760040283203,18.28605842590332,-66.70767974853516,4026.5317348076887,336,-1211,2025-12-30T13:05:13.707369
3,48.4444694519043,17.754867553710938,45.167274475097656,17.748125076293945,364.4078159415024,3916,-751,2025-12-30T13:05:42.759746
4,64.67294311523438,-19.601058959960938,63.565093994140625,-20.140621185302734,125.9390200531494,4595,0,2025-12-30T13:06:08.420427
5,47.4947395324707,19.829864501953125,54.50013732910156,23.340356826782227,816.5218343332093,2892,-1029,2025-12-30T13:06:38.919317
6,-37.236167907714844,-71.25257873535156,-77.86453247070312,160.90020751953125,6753.1363201441945,54,0,2025-12-30T13:07:04.119623
