round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp
1,51.62190246582031,-0.009185791015625,53.40948486328125,-2.911240339279175,279.3703214746484,4146,-685,2025-12-30T12:31:28.180054
2,52.196956634521484,-4.4215240478515625,54.8480110168457,-3.08577299118042,307.70988477712325,4068,0,2025-12-30T12:32:20.966564
3,-26.455612182617188,-62.67485046386719,17.400941848754883,103.21533966064453,18247.624772031446,0,-753,2025-12-30T12:32:48.519824
4,-29.43229103088379,28.186630249023438,-29.34377670288086,28.501325607299805,32.038790294571896,4894,0,2025-12-30T12:33:14.642202
5,-28.213428497314453,29.284317016601562,-32.82122039794922,18.066919326782227,1189.501305541491,2252,-760,2025-12-30T12:33:42.543584
6,49.691524505615234,13.293624877929688,49.645118713378906,15.221979141235352,138.8692127841048,4556,0,2025-12-30T12:34:07.089400
7,6.544846057891846,-74.63956451416016,6.182461261749268,-75.58027648925781,111.494020575403,4640,0,2025-12-30T12:34:47.780867
