round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-28T16:22:44.891001,34.868904,132.569489,36.301731,139.740265,667.55,3196,,,main,403.00,3818
1,2025-12-28T16:22:48.027793,34.915142,136.493393,36.301731,139.740265,331.53,4004,,,baseline,403.00,3818
2,2025-12-28T16:23:29.830739,43.645733,-72.557701,44.856976,-93.169205,1642.73,1662,,,main,888.00,2756
2,2025-12-28T16:23:33.198394,46.164375,-94.397789,44.856976,-93.169205,174.06,4449,,,baseline,888.00,2756
3,2025-12-28T16:24:19.793838,25.561563,81.666016,28.660151,77.155716,563.82,3426,,,main,8.40,4972
3,2025-12-28T16:24:22.982051,30.903385,75.856476,28.660151,77.155716,279.17,4147,,,baseline,8.40,4972
4,2025-12-28T16:25:12.656100,38.850533,-74.766136,35.906887,-79.028152,498.85,3579,,,main,239.00,4261
4,2025-12-28T16:25:16.220826,35.844803,-79.089783,35.906887,-79.028152,8.86,4970,,,baseline,239.00,4261
5,2025-12-28T16:26:06.521584,64.841240,-19.367416,55.641483,12.008696,1980.89,1325,,,main,8267.00,20
5,2025-12-28T16:26:09.780273,56.713223,-111.369606,55.641483,12.008696,6526.00,63,,,baseline,8267.00,20
