round,timestamp,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,stage1_checkpoint,stage2_checkpoint,model,human_distance_km,human_score
1,2025-12-28T15:55:33.407205,32.419891,-101.403618,30.557106,-97.739624,404.44,3813,,,main,1991.00,1316
1,2025-12-28T15:55:36.885637,32.651569,-97.169327,30.557106,-97.739624,239.07,4260,,,baseline,1991.00,1316
2,2025-12-28T15:56:21.574722,54.393024,32.249634,58.041500,22.203337,740.77,3043,,,main,211.00,4342
2,2025-12-28T15:56:25.222243,44.431572,-80.656471,58.041500,22.203337,6599.16,60,,,baseline,211.00,4342
3,2025-12-28T15:56:59.670151,52.556271,0.736450,51.108551,-2.928341,298.83,4092,,,main,572.00,3408
3,2025-12-28T15:57:02.991197,53.440826,-0.315299,51.108551,-2.928341,314.38,4050,,,baseline,572.00,3408
4,2025-12-28T15:58:01.701211,37.334862,23.747437,43.100929,5.886523,1642.27,1663,,,main,48.00,4842
4,2025-12-28T15:58:05.343252,39.606876,3.389711,43.100929,5.886523,440.83,3721,,,baseline,48.00,4842
5,2025-12-28T15:58:43.340290,-4.609091,-80.057930,22.300873,-102.037483,3829.88,384,,,main,142.00,4545
5,2025-12-28T15:58:47.093092,19.684940,-99.859711,22.300873,-102.037483,368.39,3906,,,baseline,142.00,4545
