round,predicted_lat,predicted_lng,true_lat,true_lng,distance_km,score,damage,timestamp,game_url,pano_id
1,38.84461212158203,-5.9003753662109375,39.08257293701172,-0.5292240381240845,465.0701732554615,3661,,2026-01-04T14:07:10.103331,https://www.geoguessr.com/live-challenge/2b21bbce-6587-4f59-9954-9201a40b0813,XhJxPD4GOD50hmuJUopCdg
2,74.33590698242188,-95.35403442382812,64.13497161865234,-51.652225494384766,1991.1167949927728,1316,,2026-01-04T14:09:17.745980,https://www.geoguessr.com/live-challenge/2b21bbce-6587-4f59-9954-9201a40b0813,CrMzIu8tt_d6K8dnyEZ4yw
3,-18.63870620727539,-68.31039428710938,-18.924789428710938,-68.32331085205078,31.8400517113934,4894,,2026-01-04T14:10:23.060621,https://www.geoguessr.com/live-challenge/2b21bbce-6587-4f59-9954-9201a40b0813,PwO9iNVyoE8dmja2F2kxAA
4,36.09044647216797,127.36956787109375,37.564979553222656,127.01232147216797,167.0148459426115,4470,,2026-01-04T14:11:05.759549,https://www.geoguessr.com/live-challenge/2b21bbce-6587-4f59-9954-9201a40b0813,ImWie7oSjNNI3pA_XHmJ_g
