checkpoint,checkpoint_name,variant,meta_acc,parent_acc,meta_acc_top5,parent_acc_top5,num_samples,stage0_checkpoint,encoder_model,eval_type,stage,ablation_mode,median_error_km,mean_error_km,cell_acc,acc_street,acc_city,acc_region,acc_country,stage1_checkpoint,dataset
results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,best_model_stage1.pt,finetuned,0.4551579925650557,0.4795539033457249,0.6814591078066915,0.7253717472118959,4304.0,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,geolocal/StreetCLIP,test_split,1,,,,,,,,,,
results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,best_model_stage1.pt,vanilla,0.4611988847583643,0.3856877323420074,0.7156133828996283,0.7132899628252788,4304.0,,geolocal/StreetCLIP,test_split,1,,,,,,,,,,
results/stage2_cross_attention_both/2025-12-25_09-13-54/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,test_split,2,both,126.02282,684.55457,0.4494485294117647,0.0009293680297397,0.2318773234200743,0.5778345724907064,0.828996282527881,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_both/vanilla_stage1/2025-12-24_12-23-31/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,test_split,2,both,133.21938,713.83154,0.4535845588235294,0.0002323420074349,0.2149163568773234,0.5743494423791822,0.8296933085501859,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_concept_only/2025-12-25_09-13-56/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,test_split,2,concept_only,137.00006,688.62274,0.4425551470588235,0.0009293680297397,0.2269981412639405,0.5643587360594795,0.8224907063197026,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_concept_only/vanilla_stage1/2025-12-24_12-23-31/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,test_split,2,concept_only,139.02039,745.8924,0.4510569852941176,0.0006970260223048,0.1951672862453531,0.5659851301115242,0.8236524163568774,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_image_only/2025-12-25_09-13-56/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,test_split,2,image_only,153.97816,790.45087,0.4301470588235294,0.0002323420074349,0.2016728624535316,0.5462360594795539,0.8057620817843866,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_image_only/vanilla_stage1/2025-12-24_12-23-30/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,test_split,2,image_only,222.03503,1070.538,0.3740808823529412,0.0,0.174953531598513,0.4823420074349442,0.7532527881040892,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,
results/stage2_cross_attention_both/2025-12-25_09-13-54/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,hf_dataset,2,both,389.70096,1626.2147,0.2349200581395348,0.0,0.0312157721796276,0.3196422051843738,0.6736035049288062,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
results/stage2_cross_attention_both/vanilla_stage1/2025-12-24_12-23-31/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,hf_dataset,2,both,352.3925,1538.7802,0.265625,0.0001825483753194,0.0350492880613362,0.3619934282584885,0.6958744067177802,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
results/stage2_cross_attention_concept_only/2025-12-25_09-13-56/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,hf_dataset,2,concept_only,404.8012,1716.342,0.2212936046511628,0.0,0.035779481562614,0.3150784958013873,0.649324571011318,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
results/stage2_cross_attention_concept_only/vanilla_stage1/2025-12-24_12-23-31/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,hf_dataset,2,concept_only,372.2249,1660.1282,0.2624757752515549,0.0,0.0366922234392113,0.3479372033588901,0.6705001825483753,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
results/stage2_cross_attention_image_only/2025-12-25_09-13-56/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,finetuned,,,,,,/scratch-shared/pnair/Project_AI/results/stage0-prototype/geolocal_StreetCLIP/2025-12-24_09-29-59/checkpoints/best_model_stage0.pt,,hf_dataset,2,image_only,375.10663,1663.4856,0.2427325581395348,0.0003650967506389,0.0321285140562249,0.339174881343556,0.6705001825483753,/scratch-shared/pnair/Project_AI/results/stage1-prototype/geolocal_StreetCLIP/2025-12-24_19-10-45/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
results/stage2_cross_attention_image_only/vanilla_stage1/2025-12-24_12-23-30/checkpoints/best_model_stage2_xattn.pt,best_model_stage2_xattn.pt,vanilla,,,,,,,,hf_dataset,2,image_only,447.2987,1851.6268,0.2215964147864386,0.0,0.0301204819277108,0.3068638189120117,0.6297918948521358,/scratch-shared/pnair/Project_AI/results/stage1-prototype/vanilla_streetclip_no_stage0/2025-12-24_09-29-56/checkpoints/best_model_stage1.pt,hf_geoguessr_locations
